"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","target"
"447",4000,4000,17,0,0.176470588235294,1,1,1404196026,1290774,0
"448",2500,2500,60,4,0.0892857142857143,1,1,1460835926,2625274,1
"449",20,20,20,0,0.15,1,1,1470865646,2790754,1
"450",22000,22000,43,0,0.0697674418604651,1,1,1292932206,2570994,0
"451",8000,8000,37,1,0.138888888888889,1,1,1302296213,3139387,1
"452",400,400,14,1,0.692307692307692,1,1,1435819865,2585335,0
"453",2000,2000,53,1,0.0384615384615385,1,1,1406786040,3452760,1
"454",3021,3021,25,0,0.12,1,1,1409535619,1221581,0
"455",25000,25000,17,1,0.1875,1,1,1506031219,2530781,0
"456",15000,15000,51,2,0.142857142857143,1,1,1403787037,2563763,0
"457",20000,25956.16,44,4,0.225,0,0,1493431428,5021772,0
"458",500,500,37,0,0.189189189189189,1,1,1338328125,2531475,1
"461",18000,18000,42,2,0.175,1,1,1426816882,2948318,0
"462",25000,25000,36,1,0.2,1,1,1421689624,2549576,0
"463",600,600,15,0,0.2,1,1,1346830127,1719073,0
"464",5000,6547.5,58,2,0.0357142857142857,0,0,1466566185,2511015,0
"465",1100,1100,23,0,0.0869565217391304,1,1,1424216094,2525106,0
"466",10000,10000,21,0,0.142857142857143,1,1,1438077660,3869940,1
"467",98000,98000,18,0,0.944444444444444,1,1,1412408786,3276814,0
"468",7500,7500,30,1,0.103448275862069,1,1,1340349265,3879935,0
"469",5000,5000,39,5,0.705882352941177,1,1,1455756929,2520271,0
"471",3500,3500,33,3,0,1,1,1305767201,964399,1
"472",2000,2000,28,1,0.148148148148148,1,1,1487025734,1322266,1
"474",2500,2500,43,1,0.19047619047619,1,1,1336099866,785334,1
"475",2000,2000,10,0,0.1,1,1,1363127231,2529169,0
"476",10200,10200,57,1,0.178571428571429,1,1,1468472471,2591929,1
"477",16000,16000,24,0,0.125,1,1,1405394541,1820259,1
"478",2500,2500,60,0,0.116666666666667,1,1,1367823274,1807526,1
"479",700,700,26,0,0.115384615384615,1,1,1416488112,2567088,0
"480",15000,15000,8,0,0.25,1,1,1438727886,2528514,0
"482",200,312.48,13,0,0.230769230769231,0,0,1431637206,3830394,1
"483",500,500,54,1,0.150943396226415,1,1,1423097460,4766940,1
"484",1000,1000,13,0,0.153846153846154,1,1,1424196469,2544731,0
"485",4000,4000,10,0,0.2,1,1,1378289751,1190649,1
"486",5000,5000,43,1,0.142857142857143,1,1,1405118553,2528247,0
"487",13500,13500,37,3,0.0882352941176471,1,1,1459506802,2571998,0
"488",10000,8036.65,44,2,0.0714285714285714,0,0,1430179230,2523570,0
"489",2300,2300,58,3,0.0545454545454545,1,1,1423828334,2567266,1
"490",3250,3250,32,1,0.193548387096774,1,1,1359782019,1298781,1
"491",22500,22500,34,3,0.32258064516129,1,1,1480149008,2582992,0
"492",4500,3835.01,22,0,0.181818181818182,0,0,1414045831,2590169,0
"493",5000,5000,33,2,0.516129032258065,1,1,1345127917,2557283,1
"496",25000,25000,31,1,0.1,1,1,1375855639,1723961,1
"497",5000,5000,38,1,0.135135135135135,1,1,1307521923,2579277,0
"498",50000,50000,19,0,0.157894736842105,1,1,1286845652,5115148,0
"500",500,500,51,2,0.102040816326531,1,1,1496548002,4237998,1
